"density","velocity:0","velocity:1","velocity:2","pressure","cell_centered_B:0","cell_centered_B:1","cell_centered_B:2","Cell Type"
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
1,0,0,0,1,0.75,1,0,3
