"u","connectivity","offsets","types","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,2839630560,2839630560,208,1,0,0,0,0
1,2839630560,2839630560,208,1,0.001,0.001,1.5625e-06,0
1,110559264,111774672,65,1,0.002,0.002,3.125e-06,0
1,110559264,111774672,65,1,0.003,0.003,4.6875e-06,0
1,0,109337168,13,1,0.004,0.004,6.25e-06,0
1,0,111774672,0,1,0.005,0.005,7.8125e-06,0
1,0,111774672,0,1,0.006,0.006,9.375e-06,0
1,6881312,0,208,1,0.007,0.007,1.0937e-05,0
1,4980770,0,65,1,0.008,0.008,1.25e-05,0
1,4980770,0,65,1,0.009,0.009,1.4062e-05,0
1,7471205,0,13,1,0.01,0.01,1.5625e-05,0
1,2097186,0,0,1,0.011,0.011,1.7187e-05,0
1,2097186,0,0,1,0.012,0.012,1.875e-05,0
1,6357108,0,64,1,0.013,0.013,2.0313e-05,0
1,6357108,0,64,1,0.014,0.014,2.1875e-05,0
1,7143521,0,187,1,0.015,0.015,2.3438e-05,0
1,4980770,0,0,1,0.016,0.016,2.5e-05,0
1,4980770,0,0,1,0.017,0.017,2.6563e-05,0
1,7471205,0,0,1,0.018,0.018,2.8125e-05,0
1,2097186,0,64,1,0.019,0.019,2.9688e-05,0
1,2097186,0,64,1,0.02,0.02,3.125e-05,0
1,7209068,0,187,1,0.021,0.021,3.2812e-05,0
1,6815778,0,0,1,0.022,0.022,3.4375e-05,0
1,6815778,0,0,1,0.023,0.023,3.5938e-05,0
1,3801200,0,0,1,0.024,0.024,3.75e-05,0
1,7798903,0,121,1,0.025,0.025,3.9062e-05,0
1,7798903,0,121,1,0.026,0.026,4.0625e-05,0
1,3342455,0,110,1,0.027,0.027,4.2188e-05,0
1,3342455,0,110,1,0.028,0.028,4.375e-05,0
1,6750322,0,114,1,0.029,0.029,4.5312e-05,0
1,3145776,0,0,1,0.03,0.03,4.6875e-05,0
1,3145776,0,0,1,0.031,0.031,4.8438e-05,0
1,7733363,0,110,1,0.032,0.032,5e-05,0
1,7733280,256,105,1,0.033,0.033,5.1562e-05,0
1,7733280,256,105,1,0.034,0.034,5.3125e-05,0
